,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_2,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV_3,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,g_,s_
ASV_4,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_5,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_6,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_7,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_8,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_9,Eukaryota,unknown,Phaeophyceae,Fucales,Sargassaceae,g_,s_
ASV_10,Eukaryota,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,Acanthephyra curtirostris
ASV_11,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa
ASV_12,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa
ASV_13,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_14,Eukaryota,unknown,Phaeophyceae,Sphacelariales,Sphacelariaceae,g_,s_
ASV_15,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_16,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_
ASV_17,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens
ASV_18,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_19,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
ASV_20,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
ASV_21,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Sphaeronectidae,Sphaeronectes,Sphaeronectes gracilis
ASV_22,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,g_,s_
ASV_23,unassigned,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_24,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC-2013
ASV_25,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_26,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_30,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_31,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_32,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC-2013
ASV_33,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,g_,s_
ASV_34,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,g_,s_
ASV_35,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_36,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_37,Eukaryota,Arthropoda,Insecta,Hymenoptera,unassigned,g_,s_
ASV_38,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ASV_39,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_40,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,g_,s_
ASV_41,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,g_,s_
ASV_42,Eukaryota,Imbricatea,unknown,Euglyphida,Paulinellidae,g_,s_
ASV_43,Eukaryota,unknown,Oomycota,unassigned,unassigned,g_,s_
ASV_44,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,s_
ASV_45,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_46,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_48,Eukaryota,Arthropoda,unknown,unknown,unknown,g_,s_
ASV_49,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,g_,s_
ASV_50,Eukaryota,unknown,Bolidophyceae,Parmales,Triparmaceae,g_,s_
ASV_51,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_
ASV_52,Eukaryota,unknown,Dictyochophyceae,Pedinellales,unknown,g_,s_
ASV_53,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_
ASV_54,Eukaryota,unknown,Pelagophyceae,Pelagomonadales,unknown,Aureococcus,Aureococcus anophagefferens
ASV_55,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,g_,s_
ASV_56,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus
ASV_57,Eukaryota,unknown,Pelagophyceae,Pelagomonadales,unknown,Aureococcus,Aureococcus anophagefferens
ASV_58,Eukaryota,unknown,Oomycota,Saprolegniales,Saprolegniaceae,g_,s_
ASV_60,unassigned,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_61,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_62,Eukaryota,Ascomycota,unassigned,unassigned,unassigned,g_,s_
ASV_63,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_64,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_65,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_66,Eukaryota,unknown,Phaeophyceae,unassigned,unassigned,g_,s_
ASV_67,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_68,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,g_,s_
ASV_69,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,g_,s_
ASV_70,Eukaryota,Haptista,Haptophyta,unassigned,unassigned,g_,s_
ASV_72,Eukaryota,Imbricatea,unknown,Euglyphida,Paulinellidae,g_,s_
ASV_73,Eukaryota,unknown,Phaeophyceae,Sphacelariales,Sphacelariaceae,g_,s_
ASV_75,Eukaryota,Arthropoda,Insecta,unassigned,unassigned,g_,s_
ASV_77,Eukaryota,Arthropoda,unknown,unknown,unknown,g_,s_
ASV_78,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_79,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,g_,s_
ASV_80,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,g_,s_
ASV_81,Eukaryota,Arthropoda,Arachnida,Araneae,unassigned,g_,s_
ASV_82,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
ASV_83,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Pontellidae,g_,s_
ASV_84,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,g_,s_
ASV_85,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ASV_86,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_87,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,g_,s_
ASV_88,Eukaryota,unknown,Phaeophyceae,Fucales,Sargassaceae,g_,s_
ASV_89,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_90,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_91,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,g_,s_
ASV_92,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_93,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,g_,s_
ASV_96,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,g_,s_
ASV_97,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_98,Eukaryota,Arthropoda,unknown,unknown,unknown,g_,s_
ASV_100,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,g_,s_
ASV_101,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens
ASV_102,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,g_,s_
ASV_103,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_104,Eukaryota,unknown,Chrysophyceae,Chromulinales,Chromulinaceae,g_,s_
ASV_105,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,g_,s_
ASV_106,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,g_,s_
ASV_108,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens
ASV_109,Eukaryota,unknown,Oomycota,unknown,unknown,g_,s_
ASV_110,Eukaryota,Imbricatea,unknown,Euglyphida,Paulinellidae,g_,s_
ASV_111,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens
ASV_112,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,g_,s_
ASV_115,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ASV_116,Eukaryota,unknown,Chrysophyceae,Chromulinales,Chromulinaceae,g_,s_
ASV_117,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_118,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_120,Eukaryota,unknown,Oomycota,Saprolegniales,Saprolegniaceae,g_,s_
ASV_122,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Ctenocalanus,Ctenocalanus vanus
ASV_123,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_124,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_125,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,g_,s_
ASV_127,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia californiensis
ASV_128,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori
ASV_129,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus pergens
ASV_130,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,g_,s_
ASV_131,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_132,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_134,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,g_,s_
ASV_136,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,Calocalanus tenuis
ASV_137,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_138,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_140,Eukaryota,Arthropoda,Insecta,Diptera,unassigned,g_,s_
ASV_141,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_144,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,g_,s_
ASV_149,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_150,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Moerisiidae,g_,s_
ASV_151,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_153,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_
ASV_154,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_155,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_156,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_158,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens
ASV_159,Eukaryota,unknown,Oomycota,Saprolegniales,Saprolegniaceae,g_,s_
ASV_160,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_
ASV_161,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_162,Eukaryota,Haptista,Haptophyta,unassigned,unassigned,g_,s_
ASV_163,Eukaryota,unknown,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_165,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_166,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,g_,s_
ASV_167,Eukaryota,Cercozoa,unknown,Euglyphida,Paulinellidae,g_,s_
ASV_169,Eukaryota,unknown,Oomycota,unassigned,unassigned,g_,s_
ASV_170,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,g_,s_
ASV_171,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,g_,s_
ASV_172,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_173,Eukaryota,unknown,Oomycota,unknown,unknown,g_,s_
ASV_174,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_177,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_178,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_180,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema japonicum
ASV_182,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_185,Eukaryota,unknown,Haptophyta,Isochrysidales,Noelaerhabdaceae,g_,s_
ASV_187,Eukaryota,unknown,Phaeophyceae,Sphacelariales,Choristocarpaceae,g_,s_
ASV_188,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,g_,s_
ASV_189,Eukaryota,unknown,Oomycetes,Saprolegniales,Saprolegniaceae,g_,s_
ASV_190,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_191,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_
ASV_192,Eukaryota,Cnidaria,Hydrozoa,unassigned,unassigned,g_,s_
ASV_193,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,Thysanoessa spinifera
ASV_194,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_195,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_196,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Lafoeidae,g_,s_
ASV_197,Eukaryota,Ctenophora,Tentaculata,Lobata,Bolinopsidae,g_,s_
ASV_200,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Leuckartiara,Leuckartiara longicalcar
ASV_202,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus pergens
ASV_203,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_204,Eukaryota,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiodia,unassigned
ASV_205,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_206,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_208,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,g_,s_
ASV_209,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_213,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_216,Eukaryota,Imbricatea,unknown,Euglyphida,Paulinellidae,g_,s_
ASV_220,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_222,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,g_,s_
ASV_224,Eukaryota,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,g_,s_
ASV_225,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_226,Eukaryota,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,g_,s_
ASV_229,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,g_,s_
ASV_234,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_235,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,g_,s_
ASV_236,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,unassigned
ASV_237,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Prayidae,Praya,Praya reticulata
ASV_238,Eukaryota,unknown,Oomycetes,unknown,unknown,g_,s_
ASV_239,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
